#OTU ID	AR1ERoot	AR1ESoil	AR1NRoot	AR1NSoil	AR1SRoot	AR1SSoil	AR1WRoot	AR1WSoil
OTU1	0	1	0	1	0	1	0	1
OTU2	1	1	0	0	1	0	0	0
OTU3	1	0	1	0	1	0	1	0
OTU4	0	1	0	1	0	1	0	1
OTU5	1	0	0	0	1	0	1	0
OTU6	1	0	1	0	1	0	0	0
OTU7	0	0	1	0	0	0	0	0
OTU8	1	0	1	0	1	0	1	0
OTU9	1	0	0	0	1	0	1	0
OTU10	0	0	0	1	0	0	0	1
OTU11	0	0	0	0	0	1	0	0
OTU12	1	0	1	1	1	0	1	1
OTU13	0	1	0	1	0	0	0	1
OTU14	1	0	1	1	1	1	1	1
OTU15	1	0	0	0	1	0	0	0
OTU16	1	1	1	0	1	0	1	0
OTU17	1	0	0	0	1	0	1	0
OTU18	1	1	1	1	1	1	1	1
OTU19	0	0	0	0	1	1	0	0
OTU20	1	0	1	0	0	1	0	0
OTU21	1	0	1	0	1	0	1	0
OTU22	1	0	0	0	1	1	1	0
OTU23	1	0	0	0	1	0	1	1
OTU24	0	0	0	1	1	1	0	1
OTU25	1	0	0	0	1	0	0	1
OTU26	1	1	0	0	1	0	1	0
OTU27	1	0	0	0	0	0	0	0
OTU28	1	0	1	0	1	0	1	1
OTU29	1	0	0	0	1	0	0	0
OTU30	1	0	1	1	1	0	1	0
OTU31	1	0	1	1	0	1	0	1
OTU32	0	0	1	0	0	1	0	0
OTU33	1	0	0	0	1	1	1	0
OTU34	1	0	1	0	1	0	1	0
OTU35	1	0	0	0	0	0	1	1
OTU36	0	0	1	0	0	0	0	0
OTU37	0	0	1	1	0	0	0	1
OTU38	1	0	1	0	1	0	1	1
OTU39	1	1	1	1	1	1	1	1
OTU40	1	0	1	1	1	0	1	1
OTU41	1	0	0	0	0	0	0	0
OTU42	0	0	0	0	0	0	1	1
OTU43	0	0	1	1	0	0	0	0
OTU44	0	1	0	1	0	1	0	1
OTU45	0	0	1	1	0	0	0	1
OTU46	1	0	0	0	1	1	0	0
OTU47	0	1	1	0	0	0	1	0
OTU48	0	0	0	0	1	1	0	0
OTU49	0	0	1	1	1	0	0	1
OTU50	0	0	1	1	1	0	1	1
OTU51	1	0	1	0	1	0	1	0
OTU52	1	0	1	1	1	0	0	0
OTU53	0	0	0	1	0	1	0	1
OTU54	1	0	0	0	0	0	0	1
OTU55	0	0	0	0	1	0	0	0
OTU56	0	0	1	1	0	0	1	0
OTU57	1	0	1	1	1	0	0	0
OTU58	1	0	1	0	1	0	0	0
OTU59	0	0	1	0	1	0	0	0
OTU60	0	1	0	1	1	1	0	1
OTU61	0	0	0	1	1	0	0	0
OTU62	0	1	1	1	1	0	0	1
OTU63	1	0	0	0	1	0	1	0
OTU64	0	1	0	1	1	1	0	1
OTU65	1	0	0	0	1	0	0	1
OTU66	0	0	1	1	1	1	0	1
OTU67	0	0	1	1	0	0	1	0
OTU68	1	0	0	0	0	0	1	1
OTU69	0	0	1	1	1	0	1	1
OTU70	1	0	1	1	1	1	0	1
OTU71	1	0	1	1	1	1	0	0
OTU72	0	0	1	1	0	1	1	0
OTU73	1	0	0	0	1	1	0	0
OTU74	1	0	1	0	1	0	1	0
OTU75	0	0	1	1	0	1	0	0
OTU76	0	0	0	1	0	0	0	1
OTU77	0	0	0	0	1	0	1	1
OTU78	1	0	0	0	1	1	0	0
OTU79	0	0	1	1	0	0	0	0
OTU80	0	0	1	0	1	1	0	1
OTU81	1	0	1	0	0	0	1	0
OTU82	0	0	0	1	0	1	0	1
OTU83	0	0	1	1	0	1	0	1
OTU84	0	0	1	1	0	0	0	0
OTU85	0	0	0	0	1	0	0	0
OTU86	0	0	1	1	1	1	0	1
OTU87	0	0	1	1	0	0	0	0
OTU88	0	1	0	1	1	1	0	1
OTU89	0	0	0	0	0	0	0	1
OTU90	0	0	1	0	0	0	0	0
OTU91	1	0	1	1	1	1	1	1
OTU92	1	0	1	1	1	0	0	1
OTU93	1	0	1	0	1	0	1	0
OTU94	1	0	0	0	1	0	0	0
OTU95	0	0	1	1	0	0	0	1
OTU96	0	0	0	1	0	1	0	1
OTU97	1	1	0	0	1	1	0	0
OTU98	1	0	0	0	0	0	1	0
OTU99	0	0	1	0	1	0	0	0
OTU100	0	0	0	0	0	0	1	1
OTU101	0	0	1	0	0	0	1	1
OTU102	0	0	0	0	1	0	0	0
OTU103	0	1	0	1	0	1	0	1
OTU104	1	0	0	0	1	0	0	0
OTU105	1	0	0	0	0	0	0	0
OTU106	1	0	1	1	0	0	1	1
OTU107	0	0	1	1	1	0	0	0
OTU108	0	0	0	0	1	1	0	1
OTU109	1	0	1	0	1	0	0	0
OTU110	0	0	1	0	0	0	0	0
OTU111	1	0	1	1	0	0	0	0
OTU112	0	0	1	1	0	0	0	0
OTU113	0	0	1	0	0	0	1	1
OTU114	0	0	0	0	1	1	0	0
OTU115	0	0	0	0	1	0	0	0
OTU116	0	0	0	0	1	1	0	0
OTU117	0	0	1	0	0	0	0	1
OTU118	0	0	0	0	1	0	0	0
OTU119	0	0	1	0	0	0	1	0
OTU120	0	0	1	1	1	1	1	1
OTU121	1	0	0	0	1	1	0	0
OTU122	1	0	0	0	1	0	0	0
OTU123	0	0	1	1	1	0	1	1
OTU124	0	0	1	1	0	0	0	0
OTU125	0	0	0	0	1	0	0	0
OTU126	0	0	1	1	0	1	0	1
OTU127	1	0	1	0	1	0	0	0
OTU128	0	0	0	0	1	0	0	0
OTU129	1	0	1	1	0	0	0	1
OTU130	1	0	0	0	1	0	0	0
OTU131	0	0	1	1	0	0	0	0
OTU132	1	0	0	0	1	0	1	0
OTU133	0	0	0	0	0	0	0	1
OTU134	1	0	0	0	1	1	0	0
OTU135	1	0	1	0	0	0	0	0
OTU136	0	0	0	1	0	0	0	1
OTU137	0	0	1	0	0	0	0	0
OTU138	1	0	1	1	1	0	0	1
OTU139	0	0	1	0	1	0	0	0
OTU140	1	0	0	0	1	0	1	0
OTU141	1	0	1	1	0	0	0	1
OTU142	0	0	1	1	0	0	0	0
OTU143	1	0	1	1	1	0	1	0
OTU144	1	0	0	1	1	0	0	0
OTU145	0	0	1	0	1	0	0	0
OTU146	0	1	0	0	1	1	0	0
OTU147	0	0	0	0	1	0	0	0
OTU148	0	0	0	0	1	1	0	0
OTU149	0	0	1	0	0	0	0	0
OTU150	0	0	1	1	0	0	0	0
OTU151	0	0	1	0	0	0	0	0
OTU152	0	0	1	0	1	0	0	0
OTU153	1	0	0	0	1	0	0	0
OTU154	0	0	0	1	0	0	0	1
OTU155	0	0	1	0	0	0	1	1
OTU156	0	0	0	0	0	1	1	0
OTU157	0	0	1	1	0	1	0	1
OTU158	0	0	1	1	0	0	0	0
OTU159	1	0	0	0	1	1	0	0
OTU160	0	0	1	0	0	0	0	0
OTU161	1	0	0	0	1	0	0	0
OTU162	1	0	1	0	0	0	0	0
OTU163	0	0	1	1	0	0	0	1
OTU164	1	0	0	1	1	0	0	1
OTU165	0	0	1	1	0	0	0	0
OTU166	0	0	0	0	1	0	0	0
OTU167	0	1	1	1	1	0	0	0
OTU168	1	0	1	0	1	0	1	0
OTU169	0	0	0	0	1	0	0	0
OTU170	1	0	0	0	0	1	0	0
OTU171	0	0	1	1	0	0	0	0
OTU172	0	0	0	0	0	1	0	0
OTU173	0	0	1	0	0	0	0	0
OTU174	0	0	1	1	0	0	0	0
OTU175	0	0	1	1	0	0	1	0
OTU176	0	0	0	0	0	1	0	0
OTU178	1	0	0	0	1	0	0	0
OTU179	0	0	0	0	1	0	0	0
OTU180	0	0	1	0	0	0	0	0
OTU181	1	0	0	1	1	0	0	0
OTU182	0	0	1	0	0	0	0	0
OTU183	0	0	0	0	0	0	1	0
OTU184	0	0	0	1	0	0	0	1
OTU185	0	0	0	1	0	0	0	0
OTU186	0	0	0	0	1	0	0	0
OTU187	1	0	0	0	1	0	0	0
OTU188	0	0	0	0	1	0	0	0
OTU189	0	0	0	0	0	0	1	0
OTU190	0	0	0	0	1	0	0	0
