#OTU ID	AR1ERoot	AR1ESoil	AR1NRoot	AR1NSoil	AR1SRoot	AR1SSoil	AR1WRoot	AR1WSoil
OTU1	0	46753	0	36544	0	76503	0	51198
OTU2	30132	2597	0	0	31382	0	0	0
OTU3	821	0	32872	0	1484	0	3836	0
OTU4	0	1299	0	33392	0	2722	0	5514
OTU5	17277	0	0	0	3227	0	3270	0
OTU6	159	0	4411	0	9359	0	0	0
OTU7	0	0	13855	0	0	0	0	0
OTU8	6171	0	5969	0	11173	0	17044	0
OTU9	388	0	0	0	4863	0	314	0
OTU10	0	0	0	1015	0	0	0	21106
OTU11	0	0	0	0	0	9311	0	0
OTU12	3646	0	6989	330	5605	0	13522	141
OTU13	0	1299	0	9005	0	0	0	740
OTU14	1439	0	4226	61	809	24	4088	35
OTU15	1262	0	0	0	7788	0	0	0
OTU16	1863	2597	745	0	1498	0	2201	0
OTU17	4520	0	0	0	1273	0	63	0
OTU18	1571	10390	1188	576	1018	260	1132	1568
OTU19	0	0	0	0	1138	2421	0	0
OTU20	150	0	2898	0	0	24	0	0
OTU21	2428	0	157	0	521	0	1761	0
OTU22	1351	0	0	0	1209	16	63	0
OTU23	1845	0	0	0	692	0	314	18
OTU24	0	0	0	3115	17	114	0	370
OTU25	2807	0	0	0	238	0	0	53
OTU26	883	3896	0	0	1014	0	503	0
OTU27	3549	0	0	0	0	0	0	0
OTU28	583	0	2091	0	799	0	8491	106
OTU29	2746	0	0	0	554	0	0	0
OTU30	1148	0	263	9	531	0	1761	0
OTU31	18	0	39	1699	0	49	0	2114
OTU32	0	0	2545	0	0	24	0	0
OTU33	1245	0	0	0	578	8	881	0
OTU34	1342	0	347	0	618	0	5031	0
OTU35	459	0	0	0	0	0	252	4228
OTU36	0	0	1984	0	0	0	0	0
OTU37	0	0	706	458	0	0	0	229
OTU38	26	0	112	0	651	0	189	18
OTU39	9	1299	11	387	30	1755	63	53
OTU40	653	0	824	19	621	0	2516	53
OTU41	1633	0	0	0	0	0	0	0
OTU42	0	0	0	0	0	0	10189	106
OTU43	0	0	970	14	0	0	0	0
OTU44	0	1299	0	854	0	8	0	211
OTU45	0	0	824	132	0	0	0	53
OTU46	71	0	0	0	521	24	0	0
OTU47	0	1299	1586	0	0	0	126	0
OTU48	0	0	0	0	141	1722	0	0
OTU49	0	0	846	5	10	0	0	18
OTU50	0	0	762	9	40	0	377	106
OTU51	203	0	247	0	228	0	63	0
OTU52	26	0	135	14	450	0	0	0
OTU53	0	0	0	9	0	1162	0	1286
OTU54	998	0	0	0	0	0	0	88
OTU55	0	0	0	0	369	0	0	0
OTU56	0	0	471	137	0	0	440	0
OTU57	18	0	297	5	175	0	0	0
OTU58	901	0	185	0	24	0	0	0
OTU59	0	0	230	0	329	0	0	0
OTU60	0	3896	0	194	44	138	0	423
OTU61	0	0	0	486	3	0	0	0
OTU62	0	1299	773	316	10	0	0	370
OTU63	644	0	0	0	64	0	189	0
OTU64	0	5195	0	52	37	1178	0	564
OTU65	79	0	0	0	249	0	0	18
OTU66	0	0	224	160	17	65	0	35
OTU67	0	0	605	5	0	0	63	0
OTU68	26	0	0	0	0	0	5094	758
OTU69	0	0	342	47	94	0	755	18
OTU70	35	0	151	47	121	16	0	141
OTU71	159	0	6	42	198	49	0	0
OTU72	0	0	347	9	0	8	189	0
OTU73	159	0	0	0	154	8	0	0
OTU74	26	0	482	0	165	0	566	0
OTU75	0	0	22	326	0	41	0	0
OTU76	0	0	0	420	0	0	0	53
OTU77	0	0	0	0	10	0	63	1850
OTU78	35	0	0	0	339	32	0	0
OTU79	0	0	336	5	0	0	0	0
OTU80	0	0	314	0	24	24	0	35
OTU81	494	0	11	0	0	0	377	0
OTU82	0	0	0	335	0	16	0	35
OTU83	0	0	73	47	0	57	0	511
OTU84	0	0	112	170	0	0	0	0
OTU85	0	0	0	0	151	0	0	0
OTU86	0	0	67	175	7	8	0	18
OTU87	0	0	219	14	0	0	0	0
OTU88	0	1299	0	85	7	106	0	70
OTU89	0	0	0	0	0	0	0	722
OTU90	0	0	241	0	0	0	0	0
