#OTU ID	AR1ERoot	AR1ESoil	AR1NRoot	AR1NSoil	AR1SRoot	AR1SSoil	AR1WRoot	AR1WSoil
OTU1	5	36	4	7743	23	9416	2	2906
OTU10	0	0	0	215	0	0	0	1198
OTU100	0	0	0	0	0	0	22	10
OTU101	0	0	4	0	0	0	35	5
OTU102	0	0	0	0	36	0	0	0
OTU103	0	5	0	7	0	10	0	28
OTU104	2	0	0	0	40	0	0	0
OTU105	36	0	0	0	0	0	0	0
OTU106	1	0	2	2	0	0	17	9
OTU107	0	0	3	3	22	0	0	0
OTU108	0	0	0	0	37	1	0	2
OTU109	4	0	14	0	22	0	0	0
OTU11	0	0	0	0	0	1146	0	0
OTU110	0	0	28	0	0	0	0	0
OTU111	1	0	31	1	0	0	0	0
OTU112	0	0	7	34	0	0	0	0
OTU113	0	0	24	0	0	0	3	7
OTU114	0	0	0	0	26	1	0	0
OTU115	0	0	0	0	26	0	0	0
OTU116	0	0	0	0	33	1	0	0
OTU117	0	0	24	0	0	0	0	1
OTU118	0	0	0	0	27	0	0	0
OTU119	0	0	52	0	0	0	2	0
OTU12	413	0	1247	70	1669	2	215	8
OTU120	0	0	9	6	6	1	2	4
OTU121	7	0	0	0	13	3	0	0
OTU122	4	0	0	0	20	0	0	0
OTU123	0	0	3	12	8	0	3	5
OTU124	0	0	36	1	0	0	0	0
OTU125	0	0	0	0	21	0	0	0
OTU126	0	0	12	20	0	2	0	29
OTU127	2	0	1	0	74	0	0	0
OTU128	0	0	0	0	22	0	0	0
OTU129	1	0	23	2	0	0	0	2
OTU13	0	1	1	1908	0	2	0	42
OTU130	33	0	0	0	5	0	0	0
OTU131	0	0	9	26	0	0	0	0
OTU132	1	0	0	0	18	0	4	0
OTU133	0	0	0	0	0	0	0	27
OTU134	2	0	0	0	29	2	0	0
OTU135	11	0	16	0	0	0	0	0
OTU136	0	0	0	21	0	0	0	2
OTU137	0	0	21	0	0	0	0	0
OTU138	1	0	18	3	1	0	0	1
OTU139	0	0	14	0	13	0	0	0
OTU14	163	0	754	13	241	3	65	2
OTU140	7	0	0	0	54	0	3	0
OTU141	4	0	23	2	0	0	0	2
OTU142	0	0	7	10	0	0	0	0
OTU143	39	0	13	1	37	0	1	0
OTU144	1	0	0	3	11	0	0	0
OTU145	0	0	2	0	15	0	0	0
OTU146	0	1	0	0	9	17	0	0
OTU147	0	0	0	0	19	0	0	0
OTU148	0	0	0	0	6	9	0	0
OTU149	0	0	14	0	0	0	0	0
OTU15	143	0	1	0	2319	1	0	0
OTU150	0	0	25	8	0	0	0	0
OTU151	0	0	14	0	0	0	0	0
OTU152	0	0	6	0	15	0	0	0
OTU153	1	0	0	0	15	0	0	0
OTU154	0	0	0	13	0	0	0	3
OTU155	0	0	15	0	0	0	6	2
OTU156	0	0	0	1	0	1	19	0
OTU157	0	0	4	2	0	2	0	7
OTU158	0	0	3	11	0	0	0	0
OTU159	8	0	0	0	22	5	0	0
OTU16	211	2	133	1	446	1	35	0
OTU160	0	0	17	0	0	0	0	0
OTU161	1	0	0	0	12	0	0	0
OTU162	7	0	5	0	0	0	0	0
OTU163	0	0	11	14	0	0	0	1
OTU164	3	0	0	2	10	0	0	1
OTU165	0	0	11	2	0	0	0	0
OTU166	0	0	0	0	16	0	0	0
OTU167	0	1	5	9	10	0	0	0
OTU168	9	0	4	0	45	0	1	0
OTU169	0	0	0	0	13	0	0	0
OTU17	512	0	1	0	379	1	1	1
OTU170	14	0	0	0	0	3	0	0
OTU171	0	0	13	2	0	0	0	0
OTU172	0	0	0	0	0	10	0	0
OTU173	0	0	15	0	0	0	0	0
OTU174	0	0	1	11	0	0	0	0
OTU175	0	0	16	1	0	0	11	0
OTU176	0	0	0	0	0	10	0	0
OTU178	3	0	0	0	7	0	0	0
OTU179	0	0	0	0	11	0	0	0
OTU18	178	8	212	122	303	32	18	89
OTU180	0	0	10	0	0	0	0	0
OTU181	4	0	0	2	10	0	0	0
OTU182	0	0	11	0	0	0	0	0
OTU183	0	0	0	0	0	0	10	0
OTU184	0	0	0	20	0	0	0	2
OTU185	0	0	0	17	0	0	0	0
OTU186	0	0	0	0	11	0	0	0
OTU187	10	0	0	0	5	0	0	0
OTU188	0	0	0	0	10	0	0	0
OTU189	0	0	0	0	0	0	24	0
OTU19	0	0	0	0	339	298	0	0
OTU190	0	0	0	0	15	0	0	0
OTU191	0	0	3	0	10	0	0	0
OTU192	3	0	2	0	9	0	0	0
OTU193	0	0	0	0	10	0	0	0
OTU194	0	0	18	2	0	0	0	0
OTU195	0	0	0	0	8	0	0	0
OTU196	0	0	0	0	8	0	0	0
OTU198	0	0	3	8	0	0	0	0
OTU199	0	0	10	0	0	0	0	0
OTU2	3413	2	15	0	9345	15	0	0
OTU20	17	0	517	3	0	3	0	0
OTU200	0	0	0	0	10	0	0	0
OTU201	0	0	6	5	5	0	0	1
OTU202	0	0	1	1341	0	1	0	2
OTU203	0	0	0	0	9	0	0	0
OTU204	1	0	0	0	16	0	0	0
OTU205	0	0	0	0	10	0	0	0
OTU206	0	0	1	7	0	1	0	0
OTU207	0	0	0	0	7	0	0	0
OTU208	10	0	0	0	2	0	1	0
OTU209	0	0	7	0	0	0	0	0
OTU21	275	0	28	0	155	0	28	0
OTU210	0	0	0	0	9	0	0	0
OTU211	0	0	7	1	0	0	0	0
OTU213	0	0	0	16	0	0	0	0
OTU214	0	0	0	0	8	0	0	0
OTU215	0	0	0	0	8	0	0	0
OTU216	0	0	2	10	0	0	0	0
OTU217	5	0	0	0	9	2	0	0
OTU218	2	2	3	0	1	1	1	0
OTU219	0	0	16	0	2	0	1	0
OTU22	153	0	0	0	360	2	1	0
OTU220	0	0	6	0	0	0	0	0
OTU221	0	0	1	1	8	0	0	1
OTU222	0	0	8	0	0	0	0	0
OTU223	0	0	3	4	0	0	6	9
OTU224	0	0	3	0	0	0	6	0
OTU225	0	0	0	9	0	0	0	0
OTU226	0	0	0	0	0	0	2	6
OTU227	14	0	0	0	5	1	0	0
OTU228	0	0	0	0	12	0	0	0
OTU229	0	0	1	1	0	4	0	2
OTU23	209	0	0	0	206	0	5	1
OTU230	1	0	0	5	0	0	0	0
OTU231	0	0	0	0	0	4	0	2
OTU232	0	0	2	5	0	0	0	0
OTU233	0	0	0	0	6	0	0	0
OTU234	0	0	1	0	3	2	0	0
OTU235	2	0	0	0	24	0	0	0
OTU236	0	0	9	0	2	0	0	0
OTU238	0	0	0	7	0	0	0	0
OTU24	0	0	0	660	5	14	0	21
OTU240	0	0	6	0	0	0	0	0
OTU241	4	0	0	0	5	0	0	0
OTU242	0	0	1	4	0	0	0	0
OTU243	0	0	1	0	8	0	0	0
OTU244	0	0	0	0	20	0	0	0
OTU245	0	0	0	0	0	0	1	6
OTU246	0	0	0	1	10	0	0	1
OTU247	0	0	0	4	0	0	0	1
OTU248	0	0	2	0	5	0	0	0
OTU249	0	0	0	8	0	0	0	0
OTU25	318	0	0	0	71	1	0	3
OTU250	1	0	1	0	5	1	0	0
OTU251	0	0	5	1	0	1	1	4
OTU252	0	0	5	0	0	0	0	0
OTU253	0	0	1	4	0	0	0	0
OTU254	0	0	0	5	0	0	0	0
OTU255	0	0	1	0	3	0	1	0
OTU256	0	0	0	8	0	0	0	0
OTU257	0	0	6	2	0	0	0	0
OTU258	0	0	0	2	0	14	0	5
OTU259	0	0	0	0	2	7	0	0
OTU26	100	3	0	0	302	0	8	1
OTU260	0	0	0	7	0	0	0	0
OTU261	2	0	3	2	2	1	0	0
OTU263	0	0	0	0	5	0	0	0
OTU264	0	0	5	0	0	0	0	0
OTU265	0	0	0	4	0	0	0	0
OTU266	18	0	35	0	13	0	0	0
OTU267	10	0	8	1	3	0	0	0
OTU269	0	0	0	4	0	0	0	0
OTU27	402	0	0	0	0	0	0	0
OTU270	0	0	5	2	0	0	0	0
OTU271	0	0	5	2	0	0	0	0
OTU273	0	0	3	1	0	0	0	0
OTU274	0	0	7	0	0	0	0	0
OTU275	0	0	0	0	8	0	0	0
OTU276	0	0	0	0	4	0	0	0
OTU277	0	0	0	5	1	1	0	0
OTU28	66	0	373	3	238	0	135	6
OTU280	0	0	4	0	0	0	0	0
OTU281	0	0	3	1	0	0	0	0
OTU282	0	0	4	0	0	0	0	0
OTU283	0	0	0	0	4	0	1	0
OTU284	0	0	0	5	0	0	0	0
OTU286	0	0	0	0	4	0	0	1
OTU287	0	0	1	3	0	0	0	0
OTU288	1	0	1	0	9	0	0	0
OTU29	311	0	0	0	165	0	0	0
OTU290	0	0	0	0	0	4	0	0
OTU292	4	0	0	0	0	0	0	0
OTU293	0	0	4	0	0	0	0	0
OTU294	0	0	0	0	4	0	0	0
OTU295	0	0	2	0	0	1	0	1
OTU296	0	0	0	0	4	0	0	0
OTU297	0	0	0	0	0	7	1	1
OTU298	1	0	2	0	2	0	0	0
OTU299	0	0	0	0	3	1	0	1
OTU3	93	0	5865	10	442	1	61	4
OTU30	130	0	47	2	158	0	28	0
OTU300	0	0	0	3	0	0	0	0
OTU301	0	0	0	6	0	0	0	1
OTU303	0	0	0	0	0	0	3	0
OTU304	8	0	1	0	13	1	1	0
OTU305	3	0	23	1	7	0	0	0
OTU307	0	0	4	0	0	0	0	0
OTU308	0	1	0	0	0	0	0	2
OTU31	2	0	7	360	1	6	0	120
OTU310	0	0	1	0	5	0	0	0
OTU311	0	0	0	0	6	0	0	0
OTU312	2	0	0	0	6	0	1	0
OTU313	0	0	0	5	0	1	0	2
OTU314	0	0	0	0	1	2	0	2
OTU316	0	0	0	0	0	1	0	5
OTU317	6	0	0	0	33	0	1	0
OTU318	0	0	3	0	0	0	0	0
OTU319	0	0	0	0	4	0	0	0
OTU32	0	0	454	0	3	3	0	0
OTU321	0	0	0	0	0	3	0	1
OTU322	12	0	171	2	553	2	8	1
OTU323	0	0	1	2	0	0	0	0
OTU324	3	0	0	0	0	0	0	0
OTU325	3	0	0	0	0	0	0	0
OTU326	1	0	0	0	3	0	0	0
OTU327	0	0	3	0	0	0	0	0
OTU328	0	1	0	0	2	0	0	0
OTU329	0	0	0	0	0	1	0	2
OTU33	141	0	0	0	172	1	14	0
OTU330	0	0	3	0	0	0	0	0
OTU331	0	0	0	0	3	0	0	0
OTU332	0	0	0	0	3	0	0	0
OTU333	0	0	0	3	0	0	0	0
OTU334	2	0	0	4	0	0	0	0
OTU335	0	0	0	0	3	0	0	0
OTU336	0	0	0	3	0	0	0	0
OTU337	0	0	0	0	2	0	0	0
OTU338	0	0	2	1	0	0	0	0
OTU339	0	0	0	2	2	0	0	0
OTU34	152	0	62	0	184	0	80	0
OTU340	0	0	0	0	0	0	0	4
OTU342	0	0	0	0	2	0	0	0
OTU343	0	0	0	0	0	0	0	2
OTU344	0	0	6	0	1	0	0	0
OTU345	0	0	0	0	0	0	0	2
OTU346	0	0	1	2	0	0	0	0
OTU347	0	0	0	0	4	0	0	0
OTU348	2	0	0	0	0	0	0	0
OTU349	0	0	0	0	2	0	0	0
OTU35	52	0	0	0	0	0	4	240
OTU350	2	0	0	0	0	0	0	0
OTU352	0	0	3	0	0	0	0	0
OTU353	1	0	3	0	0	0	2	0
OTU355	0	0	4	0	0	0	1	1
OTU356	0	0	0	0	0	0	3	0
OTU357	1	0	0	0	0	1	0	0
OTU358	5	0	0	0	4	0	1	0
OTU359	0	0	0	0	2	0	0	0
OTU36	0	0	354	1	0	1	0	0
OTU360	0	0	1	1	0	0	0	0
OTU362	1	0	0	0	1	0	0	0
OTU363	0	0	2	0	0	0	0	0
OTU364	3	0	1	0	4	0	0	0
OTU365	0	0	0	0	0	1	0	2
OTU366	3	0	1	0	1	0	0	0
OTU367	0	0	0	0	0	2	0	0
OTU368	0	0	1	1	0	0	0	1
OTU369	0	0	3	0	0	0	0	0
OTU37	0	0	126	97	0	0	0	13
OTU370	0	0	2	1	2	1	0	0
OTU371	0	0	3	0	4	0	0	0
