#OTU ID	AR1ERoot	AR1ESoil	AR1NRoot	AR1NSoil	AR1SRoot	AR1SSoil	AR1WRoot	AR1WSoil	Taxonomy
OTU1	5	36	4	7743	23	9416	2	2906	GSL|100.0|MT366045|SH1650284.08FU;k:Fungi,p:Mortierellomycota,c:Mortierellomycetes,o:Mortierellales,f:Mortierellaceae,g:Mortierella,s:Mortierella amoeboidea
OTU10	0	0	0	215	0	0	0	1198	GSL|100.0|HQ604510|SH1527058.08FU;k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Inocybaceae,g:Inocybe,s:Inocybe amblyospora
OTU100	0	0	0	0	0	0	22	10	GS|98.8|KY744188|SH1184680.08FU;k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Geastrales,f:Geastraceae,g:Geastrum
OTU101	0	0	4	0	0	0	35	5	GS|99.6|UDB0175379|SH2725237.08FU;k:Fungi,p:Ascomycota,c:Leotiomycetes,o:Helotiales,f:Myxotrichaceae,g:Oidiodendron
OTU102	0	0	0	0	36	0	0	0	GSL|97.0|UDB0339442|SH1648650.08FU;k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Hypocreales
OTU103	0	5	0	7	0	10	0	28	GS|99.7|UDB0261269|SH2714313.08FU;k:Fungi,p:Mortierellomycota,c:Mortierellomycetes,o:Mortierellales,f:Mortierellaceae,g:Mortierella
OTU104	2	0	0	0	40	0	0	0	SS|1.0000|KT160701|SH1556192.08FU;k:Fungi,p:Ascomycota,c:Leotiomycetes,o:Helotiales,f:Tricladiaceae,g:Tricladium
OTU105	36	0	0	0	0	0	0	0	SS|1.0000|UDB0470918|SH2724367.08FU;k:Fungi
OTU106	1	0	2	2	0	0	17	9	GS|99.3|UDB0627739|SH1564439.08FU;k:Fungi,p:Ascomycota,c:Leotiomycetes,o:Helotiales
OTU107	0	0	3	3	22	0	0	0	SS|0.9300|UDB0203931|SH2716493.08FU;k:Fungi,p:Ascomycota,c:Eurotiomycetes,o:Chaetothyriales,f:Herpotrichiellaceae
OTU108	0	0	0	0	37	1	0	2	SS|0.8200|KP012919|SH2589418.08FU;k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Clavariaceae,g:Ramariopsis,s:Ramariopsis pulchella
OTU109	4	0	14	0	22	0	0	0	GS|98.0|UDB0193147|SH2727618.08FU;k:Fungi,p:Glomeromycota,c:Glomeromycetes,o:Glomerales,f:Glomeraceae
OTU11	0	0	0	0	0	1146	0	0	GSL|100.0|FR716597|SH1616869.08FU;k:Fungi,p:Basidiomycota,c:Tremellomycetes,o:Trichosporonales,f:Trichosporonaceae
OTU110	0	0	28	0	0	0	0	0	GS|0.0|None;No hit
OTU111	1	0	31	1	0	0	0	0	GS|100.0|UDB0301737|SH2714338.08FU;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Pleomonodictydaceae
OTU112	0	0	7	34	0	0	0	0	SS|1.0000|MT785798|SH2739711.08FU;k:Fungi,p:Basidiomycota
