#OTUID	taxonomy	USEARCH	SINTAX	UTAX
OTU1	GSL|100.0|MT366045|SH1650284.08FU;k:Fungi,p:Mortierellomycota,c:Mortierellomycetes,o:Mortierellales,f:Mortierellaceae,g:Mortierella,s:Mortierella amoeboidea	k:Fungi,p:Mortierellomycota,c:Mortierellomycetes,o:Mortierellales,f:Mortierellaceae,g:Mortierella	k:Fungi,p:Mortierellomycota,c:Mortierellomycetes,o:Mortierellales,f:Mortierellaceae,g:Mortierella,s:Mortierella amoeboidea	No hit
OTU2	GS|98.3|KC180742|SH1145669.08FU;k:Fungi,p:Ascomycota,c:Leotiomycetes,o:Helotiales	k:Fungi,p:Ascomycota,c:Leotiomycetes,o:Helotiales	k:Fungi,p:Ascomycota,c:Leotiomycetes,o:Helotiales	No hit
OTU3	GSL|100.0|KY950243|SH1165004.08FU;k:Fungi,p:Ascomycota,c:Eurotiomycetes,o:Eurotiales,f:Aspergillaceae,g:Penicillium	k:Fungi,p:Ascomycota,c:Eurotiomycetes,o:Eurotiales,f:Aspergillaceae,g:Penicillium	k:Fungi,p:Ascomycota	No hit
OTU4	GS|100.0|UDB0212775|SH1557010.08FU;k:Fungi,p:Mortierellomycota,c:Mortierellomycetes,o:Mortierellales,f:Mortierellaceae,g:Mortierella	k:Fungi,p:Mortierellomycota,c:Mortierellomycetes,o:Mortierellales,f:Mortierellaceae,g:Mortierella	k:Fungi,p:Mortierellomycota,c:Mortierellomycetes,o:Mortierellales,f:Mortierellaceae,g:Mortierella	No hit
OTU5	GS|100.0|UDB0418409|SH2730075.08FU;k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Tricholomataceae,g:Mycena	k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Tricholomataceae,g:Mycena	k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Tricholomataceae,g:Mycena	No hit
OTU6	GS|99.0|UDB0408686|SH1542200.08FU;k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Tricholomataceae,g:Mycena	k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Tricholomataceae,g:Mycena	k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Tricholomataceae	No hit
OTU7	SS|0.9800|UDB067389|SH2722925.08FU;k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Tricholomataceae	k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Tricholomataceae,g:Mycena	k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Tricholomataceae	No hit
OTU8	GS|100.0|HM049643|SH1522921.08FU;k:Fungi,p:Ascomycota,c:Leotiomycetes,o:Helotiales,f:Hyaloscyphaceae,g:Lachnum	k:Fungi,p:Ascomycota,c:Leotiomycetes,o:Helotiales,f:Hyaloscyphaceae,g:Lachnum	k:Fungi,p:Ascomycota,c:Leotiomycetes,o:Helotiales	No hit
OTU9	GS|98.7|KU564088|SH1564529.08FU;k:Fungi,p:Ascomycota,c:Leotiomycetes,o:Helotiales	k:Fungi,p:Ascomycota,c:Leotiomycetes,o:Helotiales	k:Fungi,p:Ascomycota	No hit
OTU10	GSL|100.0|HQ604510|SH1527058.08FU;k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Inocybaceae,g:Inocybe,s:Inocybe amblyospora	k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Inocybaceae,g:Inocybe	k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Inocybaceae,g:Inocybe,s:Inocybe amblyospora	No hit
OTU11	GSL|100.0|FR716597|SH1616869.08FU;k:Fungi,p:Basidiomycota,c:Tremellomycetes,o:Trichosporonales,f:Trichosporonaceae	k:Fungi,p:Basidiomycota,c:Tremellomycetes,o:Trichosporonales,f:Trichosporonaceae	k:Fungi,p:Basidiomycota,c:Tremellomycetes,o:Trichosporonales,f:Trichosporonaceae	No hit
OTU12	GS|99.0|UDB046043|SH2720955.08FU;k:Fungi,p:Ascomycota,c:Eurotiomycetes,o:Chaetothyriales,f:Herpotrichiellaceae	k:Fungi,p:Ascomycota,c:Eurotiomycetes,o:Chaetothyriales,f:Herpotrichiellaceae	k:Fungi,p:Ascomycota,c:Eurotiomycetes,o:Chaetothyriales,f:Herpotrichiellaceae	No hit
OTU13	GS|100.0|MT626049|SH1507033.08FU;k:Fungi,p:Mucoromycota,c:Mucoromycetes,o:Mucorales,f:Mucoraceae,g:Mucor,s:Mucor racemosus	k:Fungi,p:Mucoromycota,c:Mucoromycetes,o:Mucorales,f:Mucoraceae,g:Mucor,s:Mucor racemosus	k:Fungi,p:Mucoromycota,c:Mucoromycetes,o:Mucorales,f:Mucoraceae,g:Mucor,s:Mucor racemosus	No hit
OTU14	SS|1.0000|KT751077|SH1160295.08FU;k:Fungi,p:Ascomycota,c:Eurotiomycetes,o:Chaetothyriales	k:Fungi,p:Ascomycota,c:Eurotiomycetes,o:Chaetothyriales	k:Fungi,p:Ascomycota,c:Eurotiomycetes,o:Chaetothyriales	No hit
OTU15	SS|0.9500|UDB0514499|SH2615397.08FU;k:Fungi,p:Ascomycota,c:Lecanoromycetes,o:Lecanorales	k:Fungi,p:Ascomycota,c:Lecanoromycetes,o:Lecanorales	k:Fungi,p:Ascomycota,c:Lecanoromycetes,o:Lecanorales	No hit
OTU16	SS|1.0000|UDB058400|SH1569597.08FU;k:Fungi	k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Russulales,f:Russulaceae	k:Fungi	No hit
OTU17	GS|97.3|UDB0395689|SH2739496.08FU;k:Fungi,p:Ascomycota,c:Orbiliomycetes,o:Orbiliales	k:Fungi,p:Ascomycota,c:Orbiliomycetes,o:Orbiliales	k:Fungi,p:Ascomycota,c:Orbiliomycetes,o:Orbiliales	No hit
OTU18	GSL|100.0|MN091958|SH1546325.08FU;k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Hypocreales,f:Nectriaceae,g:Ilyonectria,s:Ilyonectria mors-panacis	k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Hypocreales,f:Nectriaceae,g:Ilyonectria	k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Hypocreales,f:Nectriaceae,g:Ilyonectria,s:Ilyonectria mors-panacis	No hit
OTU19	GS|99.5|KF041420|SH1522288.08FU;k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Inocybaceae,g:Inocybe	k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Inocybaceae,g:Inocybe	k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Inocybaceae,g:Inocybe	No hit
